MID,DISCIPL,COMMONNAME,PHONE,WEBURL,LONGITUDE,LATITUDE,GSTREET,GCITY,GSTATE,GZIP5
8400200053,ART,NEW YORK ALASKA HOUSE, , ,-149.94851,61.13325,3806 NORTH POINT CIR,ANCHORAGE,AK,99502
8400200055,CMU,FAIRBANKS CHILDREN'S MUSEUM, , ,-147.72078,64.84217,302 CUSHMAN STREET SUITE 101,FAIRBANKS,AK,99707
8400200059,BOT,JENSEN-OLSON ARBORETUM,9077890139,HTTP://WWW.FRIENDSJOARBORETUM.ORG/INDEX.HTML,-134.77955,58.48383,23035 GLACIER HIGHWAY,JUNEAU,AK,99801
8400200066,SCI,MARIE DRAKE PLANETARIUM,9075002941,HTTP://MARIEDRAKEPLANETARIUM.ORG,-134.61082,58.36674,10014 CRAZY HORSE DR,JUNEAU,AK,99802
8400200071,HST,WHITTIER MUSEUM ASSOCIATION, , ,-148.68,60.77,PO BOX 750,WHITTIER,AK,99693
8400200073,HST,ALASKA MINING HALL OF FAME FOUNDATION, , ,-147.82945,64.85079,PO BOX 81906,FAIRBANKS,AK,99708
8400200074,HST,HAMMER MUSEUM,9077662374,HTTP://WWW.HAMMERMUSEUM.ORG,-135.47365,59.24675,108 MAIN ST,HAINES,AK,99827
8400200087,ZAW,ALASKA ZOO,9073462133,HTTP://ALASKAZOO.ORG/,-149.79254,61.12476,4731 OMALLEY RD,ANCHORAGE,AK,99507
8400200089,HST,PIONEER MEMORIAL PARK,9074591087,HTTP://WWW.CO.FAIRBANKS.AK.US/PIONEERPARK/,-147.76725,64.83685,2300 AIRPORT WAY,FAIRBANKS,AK,99707
8400200098,HST,ALASKA AVIATION HERITAGE MUSEUM,9072485325,http://www.alaskaairmuseum.org/,-149.97254,61.17925,4721 AIRCRAFT DR,ANCHORAGE,AK,99502
8400200105,HST,CLAUSEN MEMORIAL MUSEUM,9077723598,HTTP://WWW.CLAUSENMUSEUM.NET,-132.96963,56.80634,203 FRAM ST,PETERSBURG,AK,99833
8400200117,BOT,ALASKA BOTANICAL GARDEN,9077703692,HTTP://ALASKABG.ORG/,-149.76708,61.1689,4601 CAMPBELL AIRSTRIP R,ANCHORAGE,AK,99507
8400200124,ART,INTERNATIONAL GALLERY OF CONTEMPORARY ARTS,9072791116, ,-149.88931,61.21824,427 D ST,ANCHORAGE,AK,99510
8400200128,HST,SHELDON MUSEUM AND CULTURAL CENTER,9077662366,HTTP://WWW.SHELDONMUSEUM.ORG,-135.47365,59.24675,11 MAIN STREET,HAINES,AK,99827
8400200130,HST,FAIRBANKS COMMUNITY MUSEUM,9074573669,HTTP://FAIRBANKSHISTORYMUSEUM.COM/,-147.72457,64.84231,PO BOX 74389,FAIRBANKS,AK,99707
8400200137,ART,ANCHORAGE CLAY ARTS GUILD, , ,-149.89178,61.18495,NA,ANCHORAGE,AK,99524
8400200138,HST,VALDEZ MUSEUM AND HISTORICAL ARCHIVE ASSOCIATION,9078352764,HTTP://WWW.VALDEZMUSEUM.ORG/,-146.21652,61.10482,217 EGAN DR,VALDEZ,AK,99686
8400200144,ART,KODIAK MARITIME MUSEUM AND ART CENTER,9074860384,HTTP://WWW.KODIAKMARITIMEMUSEUM.ORG,-152.40165,57.79263,500 DOG BAY DRIVE,KODIAK,AK,99615
8400200153,SCI,ALASKA CHALLENGER CENTER FOR SPACE SCIENCE TECHNOLOGY,9072832000,HTTP://WWW.AKCHALLENGER.ORG,-151.21598,60.56149,9711 KENAI SPUR HWY,KENAI,AK,99611
8400200167,ZAW,OCEANSALASKA,9072257900,HTTPS://BLUESTARROYSTERS.WORDPRESS.COM/,-131.67274,55.35076,2417 TONGASS AVENUE,KETCHIKAN,AK,99901
8400200170,BOT,ALASKA WILDLIFE CONSERVATION CENTER,9072275764, ,-149.13368,60.96435,PO BOX 949,GIRDWOOD,AK,99587
8400200171,BOT,CENTER FOR ALASKAN COASTAL STUDIES,9072356756,HTTP://WWW.AKCOASTALSTUDIES.ORG,-151.52423,59.64585,708 SMOKEY BAY WAY,HOMER,AK,99603
8400200172,BOT,EAGLE RIVER NATURE CENTER,9076942108,HTTP://WWW.ERNC.ORG,-149.27332,61.23644,32750 EAGLE RIVER ROAD,EAGLE RIVER,AK,99508
8400200173,ART,PRATT MUSEUM,9072358635,HTTP://WWW.PRATTMUSEUM.ORG/,-151.5504,59.6447,3779 BARTLETT STREET,HOMER,AK,99603
8400400009,ART,SUN CITIES ART MUSEUM, , ,-112.24,33.60642,PO BOX 6377,PEORIA,AZ,85385
8400400028,ART,PHIPPEN ART MUSEUM,9287781385,HTTP://WWW.PHIPPENARTMUSEUM.ORG,-112.42997,34.47137,4701 ARIZONA 89,PRESCOTT,AZ,86301
8400400035,ZAW,PRESCOTT ANIMAL PARK,9287784242,HTTP://WWW.HERITAGEPARKZOO.ORG,-112.4455,34.61475,1403 HERITAGE PARK ROAD,PRESCOTT,AZ,86301
8400400037,HST,PIONEER ARIZONA LIVING HISTORY MUSEUM, , ,-112.1443,33.81923,3901 W PIONEER RD,PHOENIX,AZ,85086
8400400046,ZAW,INTERNATIONAL WILDLIFE MUSEUM,5206290100,HTTP://WWW.THEWILDLIFEMUSEUM.ORG,-111.06681,32.23458,4800 W GATES PASS RD,TUCSON,AZ,85745
8400400051,HST,HOMOLOVI RUINS STATE PARK,9282894106,HTTP://AZSTATEPARKS.COM,-110.70285,35.03033,ARIZONA 87,WINSLOW,AZ,86047
8400400064,BOT,HERITAGE AND SCIENCE PARK,6022625071,HTTP://HERITAGESQUAREPHX.ORG/,-112.06615,33.44954,115 N 6TH ST,PHOENIX,AZ,85004
8400400066,ART,HALLE HEART CENTER MUSEUM,6024145353,HTTP://WWW.HEART.ORG/,-111.97755,33.3969,2929 S 48TH ST,TEMPE,AZ,85282
8400400078,NAT,COLOSSAL CAVE MOUNTAIN PARK,5206477275,HTTP://COLOSSALCAVE.ORG/,-110.78583,31.94611,16721 E OLD SPANISH TRL,VAIL,AZ,85641
8400400088,ZAW,ARIZONA FOLKLORE PRESERVE,5203786165,HTTP://WWW.ARIZONAFOLKLORE.COM,-111.9792,33.59475,11811 N TATUM BLVD,PHOENIX,AZ,85028
8400400098,HST,BUCKEYE MUSEUM,6233496315, ,-112.55101,33.39445,116 MC 85,BUCKEYE,AZ,85326
8400400099,ART,CASA GRANDE ART MUSEUM,5208363377, ,-111.75492,32.87885,319 W 3RD ST,CASA GRANDE,AZ,85122
8400400100,SCI,ARIZONA MILITARY HERITAGE CENTER,9287581088,HTTP://WWW.PIMAAIR.ORG,-110.85327,32.14063,6000 E VALENCIA RD,TUCSON,AZ,85756
8400400107,ZAW,PHOENIX HERPETOLOGICAL SOCIETY, ,HTTP://WWW.PHOENIXHERP.COM,-111.88119,33.67597,20701 N SCOTTSDALE RD SU,SCOTTSDALE,AZ,85255
8400400109,ART,UDINOTTI MUSEUM OF FIGURATIVE ART,4809467056, ,-111.94046,33.52232,6511 E MCDONALD DR,PARADISE VLY,AZ,85253
8400400113,CMU,CHILDREN MUSEUM OF CHANDLER,4809630262, ,-111.83867,33.30463,PO BOX 2906,CHANDLER,AZ,85244
8400400115,HST,SANTA CRUZ VALLEY HISTORIC MUSEUM, , ,-111.67693,32.74996,PO BOX 280,ARIZONA CITY,AZ,85123
8400400116,SCI,ARIZONA DEPARTMENT OF MINES & MINERAL RESOURCES,6239352007,HTTP://WWW.ADMMR.STATE.AZ.US,-112.0916,33.44847,1502 W WASHINGTON ST,PHOENIX,AZ,85007
8400400125,ART,MINI-TIME MACHINE,5208810606, ,-110.89506,32.26689,4491 E FORT LOWELL RD,TUCSON,AZ,85712
8400400130,ART,ZELMA BASHA SALMERI GALLERY OF WESTERN AMERICAN AND AMERICAN INDIAN ART,4808955230, ,-111.85834,33.24326,22402 S BASHA ROAD,CHANDLER,AZ,85244
8400400131,HST,HIGH DESERT HERITAGE MUSEUM,9286324633, ,-112.11654,34.3214,19600 STAGECOACH TRAIL,CORDES LAKES,AZ,86333
8400400135,BOT,TUCSON BOTANICAL GARDENS,5203269686,HTTP://WWW.TUCSONBOTANICAL.ORG,-110.9098,32.24872,2150 N ALVERNON WAY,TUCSON,AZ,85712
8400400147,HST,SANDERSON MUSEUM & VILLAGE, , ,-112.05421,33.57097,1305 E HATCHER RD,PHOENIX,AZ,85020
8400400159,SCI,MUSEUM OF SCIENCE AND SUSTAINABILITY,6177232500,HTTP://WWW.MOS.ORG/VISIT-US,-111.86464,33.38031,1506 W JEROME AVE,MESA,AZ,85202
8400400160,HST,NAVAJO CODE TALKERS MUSEUM, ,HTTP://NAVAJOCODETALKERS.ORG/,-109.05,35.35,PO BOX 810,LUPTON,AZ,86508
8400400167,HST,MARICOPA COUNTY JUSTICE MUSEUM & LEARNING CENTER FOUNDATION, ,HTTP://WWW.JUSTICEMUSEUM.ORG/,-112.07159,33.4576,125 W JEFFERSON,PHOENIX,AZ,85004
8400400188,CMU,SCOTTSDALE CHILDREN'S MUSEUM I,6022530501, ,-111.97926,33.63833,4727 E BELL RD,PHOENIX,AZ,85032
8400400200,SCI,SCIENCE DOWNTOWN,5206228595, ,-110.9204,32.13943,3371 E HEMISPHERE LOOP,TUCSON,AZ,85706
8400400201,SCI,EARTH SCIENCE MUSEUM,6029734291, ,-112.12906,33.52363,3215 W BETHANY HOME RD,PHOENIX,AZ,85017
8400400203,CMU,OVER THE RAINBOW BUTTERFLY GARDEN,6233269640,HTTP://WWW.OVERTHERAINBOWBUTTERFLYGARDEN.COM/,-111.55562,35.30352,11315 N CRESTVIEW ST,FLAGSTAFF,AZ,86004
8400400208,HST,MUSEUM OF TELEVISION, ,HTTP://WWW.MUSEUMOFTV.ORG/INDEX.HTML,-112.07734,33.45768,849 N 3RD AVE,PHOENIX,AZ,85003
8400400210,BOT,RED PUEBLO MUSEUM AND HERITAGE PARK,9286437777,HTTPS://WWW.FACEBOOK.COM/REDPUEBLOMUSEUM,-112.75448,36.90357,900 N HWY 89A,FREDONIA,AZ,86022
8400400238,ZAW,CABEZA PRIETA NATIONAL WILD LIFE REFUGE,5203876483,HTTP://CABEZAPRIETA.ORG,-112.87213,32.39747,PO BOX 234,AJO,AZ,85321
8400400244,ART,SHEMER ART CENTER & MUSEUM,6022624727,HTTP://WWW.SHEMERARTCENTER.ORG/,-111.97235,33.50482,5005 E CAMELBACK RD,PHOENIX,AZ,85018
8400400262,HST,AFRICAN AMERICAN MULTICULTURAL MUSEUM,4803144400,HTTP://WWW.AAMMUSEUM.ORG,-111.92598,33.45481, 617 NORTH SCOTTSDALE ROAD,SCOTTSDALE,AZ,85259
8400400265,ART,PHOENIX ART MUSEUM,6022571880,HTTP://WWW.PHXART.ORG,-112.07256,33.46697,1625 N CENTRAL AVE,PHOENIX,AZ,85004
8400400266,SCI,LOWELL OBSERVATORY,9287743358, ,-111.66222,35.19935,1400 W MARS HILL RD,FLAGSTAFF,AZ,86001
8400400267,HST,MUSEUM OF NORTHERN ARIZONA,9287745213,HTTP://MUSNAZ.ORG/,-111.66436,35.23431,3101 N FORT VALLEY RD,FLAGSTAFF,AZ,86001
8400400269,NAT,ARIZONA SONORA DESERT MUSEUM, ,HTTP://WWW.DESERTMUSEUM.ORG,-111.16237,32.24472,2021 N KINNEY RD,TUCSON,AZ,85743
8400400273,BOT,DESERT BOTANICAL GARDEN,4809411225,HTTP://WWW.DBG.ORG,-111.94167,33.46385,1201 N GALVIN PKWY,PHOENIX,AZ,85008
8400400302,HST,ROSSON HOUSE HERITAGE SQUARE & FOUNDATION,6022625070,HTTP://HERITAGESQUAREPHX.ORG/,-112.06615,33.44954,113 N 6TH ST,PHOENIX,AZ,85004
8400400346,ART,SEDONA ART MUSEUM,9288210515,HTTP://SEDONAARTMUSEUM.ORG/,-111.79273,34.86226,310 APPLE AVE,SEDONA,AZ,86336
8400400349,HST,ROBERT LOUIS STEVENSON MUSEUM,4809988888,HTTP://RLSMUSEUM.ORG/,-111.92175,33.54994,7501 E MCCORMICK PARKWAY,SCOTTSDALE,AZ,85258
8400400358,ART,ALWUN HOUSE FOUNDATION,6022537887,HTTP://ALWUNHOUSE.ORG/,-112.05542,33.45894,1204 E ROOSEVELT ST,PHOENIX,AZ,85006
8400400372,NAT,ARIZONA MUSEUM OF NATURAL HISTORY,4806442230,HTTP://WWW.AZMNH.ORG,-111.83358,33.41665,53 N MACDONALD,MESA,AZ,85201
8400400376,BOT,YUMA CONSERVATION GARDEN, , ,-114.62408,32.68796,2197 S 4TH AVE STE 104,YUMA,AZ,85364
8400400382,HST,WOMEN'S AIRFORCE SERVICE PILOTS MUSEUM,9289275555,HTTP://WASPMUSEUM.COM/,-114.2174,33.66642,PO BOX 6,QUARTZSITE,AZ,85346
8400400386,HST,PHOENIX POLICE MUSEUM,6025347278, ,-112.07628,33.446,17 S 2ND AVE FL 1TH,PHOENIX,AZ,85003
8400400388,ART,CASTANEDA MUSEUM OF ETHNIC COSTUME,5202994129,HTTP://WWW.CASTANEDAMUSEUM.ORG,-110.9168,32.32956,3550 E THIMBLE PEAK PL,TUCSON,AZ,85718
8400400389,ZAW,SONORAN SEA AQUARIUM, , ,-110.77773,32.19934,1805 S CEYLON PL,TUCSON,AZ,85748
8400400391,NAT,HIGHLANDS CENTER FOR NATURAL HISTORY,9287769550,HTTP://HIGHLANDSCENTER.ORG,-112.38526,34.45536,1375 WALKER RD,PRESCOTT,AZ,86303
8400400404,ART,MUSEUM OF CONTEMPORARY ART,5206245019,HTTP://WWW.MOCA-TUCSON.ORG,-110.97221,32.21839,265 S CHURCH AVE,TUCSON,AZ,85701
8400400406,HST,SODA SPRINGS IDAHO HISTORICAL MUSEUM, , ,-111.59082,42.6583,PO BOX 378,SODA SPRINGS,ID,83276
8400400407,CMU,HEALTH WORLD EDUCATION,8778056580, ,-111.89545,33.68534,8601 E VIA DEL SOL DR,SCOTTSDALE,AZ,85255
8400400410,HST,HOUSE OF BROADCASTING,6029441997,HTTP://WWW.HOUSEOFBROADCASTING.COM/,-111.92664,33.49852,7150 E FIFTH AVENUE,SCOTTSDALE,AZ,85020
8400400417,CMU,FLAGSTAFF CHILDREN'S MUSEUM, , ,-111.64114,35.2153,1817 N MEADOW LARK DR,FLAGSTAFF,AZ,86001
