MID,DISCIPLINE,COMMONNAME,PHONE,WEBURL,LONGITUDE,LATITUDE,GSTREET,GCITY,GSTATE,GZIP5
8400200102,GMU,SEALASKA HERITAGE INSTITUTE,9074634844,HTTP://WWW.SEALASKAHERITAGE.ORG/,-134.40814,58.30039,1 SEALASKA PLZ STE 301,JUNEAU,AK,99801
8400200107,GMU,ALASKA MASONIC LIBRARY AND MUSEUM FOUNDATION,9072762665, ,-149.89456,61.21833,606 W 4TH AVE,ANCHORAGE,AK,99519
8400200108,GMU,MUSEUMS ALASKA,4253122235,HTTP://MUSEUMSALASKA.ORG/,-151.48517,59.66896,PO BOX 3004,HOMER,AK,99603
8400200118,GMU,SAMUEL FOX MUSEUM,9078424831, ,-158.45869,59.04004,306 D STREET WEST,DILLINGHAM,AK,99576
8400200123,GMU,ALASKA NATIVE HERITAGE CENTER,9073308000,HTTP://WWW.ALASKANATIVE.NET,-149.71566,61.23361,8800 HERITAGE CENTER DR,ANCHORAGE,AK,99504
8400200125,GMU,ANCHORAGE MUSEUM,9079299200,HTTPS://WWW.ANCHORAGEMUSEUM.ORG/,-149.8853,61.21608,625 C STREET,ANCHORAGE,AK,99501
8400200127,GMU,DOG MUSHING MUSEUM,9074573669,HTTP://FAIRBANKSHISTORYMUSEUM.COM/?PAGE_ID=39,-147.72054,64.84166,410 CUSHMAN STREET,FAIRBANKS,AK,99708
8400200135,GMU,ALUTIIQ HERITAGE FOUNDATION,9074867004,HTTP://WWW.ALUTIIQMUSEUM.COM,-152.4025,57.78869,215 MISSION RD STE 101,KODIAK,AK,99615
8400200140,GMU,MUSEUM OF THE ALEUTIANS,9075815150,HTTP://WWW.ALEUTIANS.ORG/,-166.54126,53.87139,314 SALMON WAY,UNALASKA,AK,99685
8400200154,GMU,WRANGELL MUSEUM,9078743770, ,-132.38707,56.47183,296 CAMPBELL DR,WRANGELL,AK,99929
8400200155,GMU,MAXINE & JESSE WHITNEY MUSEUM, ,HTTP://WWW.MJWHITNEYMUSEUM.ORG/,-146.21652,61.10482,303 LOWE ST,VALDEZ,AK,99686
8400400001,GMU,WINGSPAN AIR HERITAGE,4809245543,HTTP://WINGSPANAIR.ORG,-111.68993,33.39394,6555 E SOUTHERN AVE,MESA,AZ,85206
8400400010,GMU,STINSON MUSEUM,9285364881, ,-110.08073,34.50742,102 N 1ST ST E,SNOWFLAKE,AZ,85937
8400400012,GMU,SMOKI MUSEUM,9284451230,HTTP://WWW.SMOKIMUSEUM.ORG/,-112.45921,34.54397,147 N ARIZONA AVE,PRESCOTT,AZ,86304
8400400013,GMU,T-REX MUSEUM,5202894149,HTTP://WWW.TREXMUSEUM.ORG/,-110.983,32.26505,1429 N SASSY DRIVE,TUCSON,AZ,85705
8400400014,GMU,SOUTHERN ARIZONA TRANSPORTATION MUSEUM,5206232223,HTTP://WWW.TUCSONHISTORICDEPOT.ORG,-110.96984,32.22552,414 N TOOLE AVE,TUCSON,AZ,85701
8400400015,GMU,SEDONA HERITAGE MUSEUM,9282827038, ,-111.76115,34.87888,735 JORDAN RD,SEDONA,AZ,86336
8400400021,GMU,OLD PUEBLO TROLLEY,5207921802,HTTP://WWW.OLDPUEBLOTROLLEY.ORG,-110.9685,32.22064,PO BOX 1373,TUCSON,AZ,85702
8400400022,GMU,PENSKE RACING MUSEUM,4805384444,HTTP://WWW.PENSKERACINGMUSEUM.COM,-111.92605,33.6555,7125 E CHAUNCEY LN,PHOENIX,AZ,85054
8400400025,GMU,PETERSEN HOUSE MUSEUM,6023505105, ,-111.92679,33.39257,809 E SOUTHERN AVE,TEMPE,AZ,85282
8400400031,GMU,RIM COUNTRY MUSEUM,9284743483, ,-111.29443,34.25432,700 GREEN VALLEY PKWY,PAYSON,AZ,85541
8400400032,GMU,O.K. CORRAL,5204573456,HTTP://WWW.OK-CORRAL.COM/,-110.04318,31.69404,308 E ALLEN ST,TOMBSTONE,AZ,85638
8400400033,GMU,RAINBOW HOGAN MUSEUM- CROSS,9286845745, ,-112.76275,33.96819,611 AMERICA ST,WICKENBURG,AZ,85390
8400400034,GMU,PHOENIX TROLLEY MUSEUM,6022540307,HTTP://PHOENIXTROLLEY.COM,-112.07159,33.4576,25 W CULVER STREET,PHOENIX,AZ,85004
8400400039,GMU,WHITE MOUNTAIN APACHE CULTURE CENTER AND MUSEUM,9283384625, ,-109.98952,33.78948,127 SCOUT RD,FORT APACHE,AZ,85926
8400400040,GMU,NAVAJO NATION MUSEUM,9288717941,HTTPS://WWW.FACEBOOK.COM/NAVAJONATIONMUSEUM,-109.1022,35.66096,HIGHWAY 264 AND LOOP ROAD,WINDOW ROCK,AZ,86515
8400400047,GMU,HOO-HOOGAM KI MUSEUM,4803626320,HTTP://WWW.SRPMIC-NSN.GOV/HISTORY_CULTURE/MUSEUM.ASP,-111.86456,33.48766,10005 E OSBORN RD,SCOTTSDALE,AZ,85256
8400400049,GMU,JOHN WESLEY POWELL MEMORIAL MUSEUM,9286459496,HTTP://WWW.POWELLMUSEUM.ORG/,-111.46716,36.91375,6 N LAKE POWELL BLVD,PAGE,AZ,86040
8400400050,GMU,KATYDID INSECT MUSEUM,6239318718,HTTP://WWW.INSECTMUSEUM.COM,-112.16792,33.52419,5060 W BETHANY HOME RD,GLENDALE,AZ,85301
8400400055,GMU,FORT HUACHUCA MUSEUM,5205335736,HTTP://HUACHUCAMUSEUM.COM/,-110.35049,31.55259,41401 GRIERSON AVE,FORT HUACHUCA,AZ,85613
8400400057,GMU,HEARD MUSEUM WEST,6233442200,HTTP://HEARD.ORG/,-112.38379,33.63398,16126 N CIVIC CENTER PLZ,SURPRISE,AZ,85374
8400400059,GMU,GEORGE WASHINGTON CARVER MUSEUM AND CULTURAL CENTER,6022547516,HTTP://WWW.AZMUSEUMS.ORG,-112.06793,33.43779,415 E GRANT ST,PHOENIX,AZ,85004
8400400060,GMU,HALL OF FLAME MUSEUM OF FIREFIGHTING,6022753473,HTTP://WWW.HALLOFFLAME.ORG,-111.95343,33.44988,6101 E VAN BUREN ST,PHOENIX,AZ,85008
8400400063,GMU,FORT YUMA QUECHAN MUSEUM,7605720661, ,-114.626,32.68676,14533 VETERANS DRIVE,YUMA,AZ,85366
8400400065,GMU,HEARD MUSEUM NORTH SCOTTSDALE,4804889817, ,-111.92645,33.79807,34505 N SCOTTSDALE RD,SCOTTSDALE,AZ,85266
8400400067,GMU,GOLDEN ERA TOY AND AUTO MUSEUM,5207235044, ,-111.51958,32.97755,297 W CENTRAL AVE,COOLIDGE,AZ,85128
8400400068,GMU,FRANKLIN AUTO MUSEUM,5203268038,HTTP://WWW.FRANKLINMUSEUM.ORG/,-110.94873,32.2691,1405 E KLEINDALE RD,TUCSON,AZ,85719
8400400069,GMU,CLEMENCEAU HERITAGE MUSEUM,9286342868, ,-112.02742,34.73992,1 N WILLARD ST,COTTONWOOD,AZ,86326
8400400070,GMU,DON LUSCOMBE AVIATION HISTORY FOUNDATION,6029170969,HTTP://WWW.LUSCOMBE.ORG/,-111.73282,33.29994,2487 S. GILBERT ROAD. UNIT 106,GILBERT,AZ,85082
8400400075,GMU,COLORADO RIVER MUSEUMS,9287543399, ,-114.53429,35.16714,355 ARIZONA 68,BULLHEAD CITY,AZ,86429
8400400077,GMU,DESERT CABALLEROS WESTERN MUSEUM,6026842272,HTTP://WESTERNMUSEUM.ORG/,-112.73092,33.96856,21 N FRONTIER ST,WICKENBURG,AZ,85390
8400400079,GMU,COCOPAH TRIBAL MUSEUM,9286271992,HTTP://WWW.COCOPAH.COM/,-114.73587,32.60801,14533 SOUTH VETERANS DRIVE,SOMERTON,AZ,85350
8400400081,GMU,BISON MUSEUM,4808378700,HTTP://WWW.VISITARIZONA.COM,-111.88441,33.63832,16641 N 91ST ST,SCOTTSDALE,AZ,85260
8400400083,GMU,B ANDERSON GIRL SCOUT MUSEUM,6022856942,HTTP://WWW.GIRLSCOUTSAZ.ORG/,-112.06973,33.49139,3806 N 3RD ST,PHOENIX,AZ,85012
8400400085,GMU,ARIZONA MILITARY MUSEUM,6022672676,HTTP://WWW.AZDEMA.GOV/MUSEUM/INDEX.HTML,-111.961,33.46537,5636 E MCDOWELL RD,PHOENIX,AZ,85008
8400400087,GMU,APACHELAND MOVIE RANCH MUSEUM,4809834888, ,-111.48821,33.43786,4087 E APACHE TRL,APACHE JUNCTION,AZ,85119
8400400089,GMU,BUTTERFLY LODGE MUSEUM,9287357514,HTTP://BUTTERFLYLODGEMUSEUM.ORG/,-109.46107,34.05067,4 COUNTY ROAD 1126,GREER,AZ,85927
8400400091,GMU,AMERICAN HEROES MUSEUM,9287635900, ,-114.598,34.98992,5902 S HIGHWAY 95,FORT MOHAVE,AZ,86426
8400400092,GMU,APACHE CULTURE CENTER MUSEUM, ,HTTP://WWW.FORTAPACHEARIZONA.ORG,-109.98952,33.78948,127 SCOUT ST,FORT APACHE,AZ,85926
8400400096,GMU,ASU MUSEUM OF ANTHROPOLOGY,4809456224,HTTP://WWW.RELEVANTYELLOW.COM/,-111.92241,33.62043,7302 E HELM DR,SCOTTSDALE,AZ,85260
8400400102,GMU,ARIZONA STATE CAPITOL MUSEUM,6025424675,HTTP://WWW.AZLIBRARY.GOV/AZCM,-112.09509,33.44998,1700 WEST WASHINGTON ST,PHOENIX,AZ,85007
