MID,DISCIPLINE,COMMONNAME,PHONE,WEBURL,LONGITUDE,LATITUDE,GSTREET,GCITY,GSTATE,GZIP5
8400100084,HSC,BELLE MONT MANSION,2566378513,HTTP://BELLEMONT.WEEBLY.COM/,-87.67689,34.68412,1569 COOK LANE,TUSCUMBIA,AL,35643
8400100085,HSC,BRAGG-MITCHELL MANSION,2514716364,HTTP://WWW.BRAGGMITCHELLMANSION.COM/,-88.0876,30.69172,1906 SPRINGHILL AVENUE,MOBILE,AL,36607
8400100089,HSC,HARRIS BARRETT SCHOOL, , ,-85.76358,32.47951,1755 COUNTY ROAD 27,TUSKEGEE,AL,36083
8400100091,HSC,PETERMAN HISTORICAL SOCIETY, , ,-87.26272,31.58501,167 MAIN ST,PETERMAN,AL,36471
8400100092,HSC,ARTSREVIVE,3348782787,HTTP://ARTSREVIVE.COM/,-87.02243,32.40623,PO BOX 2548,SELMA,AL,36702
8400100097,HSC,COLLINSVILLE HISTORICAL ASSOCIATION, ,HTTP://WWW.GEMOFTHEVALLEY.NET/,-85.86513,34.26189,PO BOX 849,COLLINSVILLE,AL,35961
8400100100,HSC,HENRY COUNTY VETERANS MEMORIAL PARK, , ,-85.12046,31.53708,PO BOX 115,SHORTERVILLE,AL,36373
8400100104,HSC,BARBOUR COUNTY GOVERNORS TRAIL, , ,-85.43541,31.84169,PO BOX 403,CLAYTON,AL,36016
8400100108,HSC,GARDENDALE HISTORICAL SOCIETY,2056315662, ,-86.83788,33.69468,PO BOX 1044,GARDENDALE,AL,35071
8400100109,HSC,HISTORIC RESTORATION SOCIETY, , ,-88.10617,30.69597,PO BOX 70047,MOBILE,AL,36670
8400100111,HSC,CULLMAN COUNTY HISTORICAL SOCIETY, , ,-86.85111,34.18014,PO BOX 804,CULLMAN,AL,35056
8400100114,HSC,OAKVILLE INDIAN MOUNDS,2569052494,HTTP://WWW.OAKVILLEINDIANMOUNDS.COM/,-87.18117,34.43827,1219 COUNTRY ROAD 187,DANVILLE,AL,35619
8400100115,HSC,AUBURN PRESERVATION LEAGUE, , ,-85.47712,32.61251,PO BOX 2945,AUBURN,AL,36831
8400100118,HSC,HISTORIC DOWNTOWN ANNISTON BUSINESS ASSOCIATION, , ,-85.82986,33.65731,1012 NOBLE STREET,ANNISTON,AL,36201
8400100123,HSC,FAYETTE COUNTY HISTORICAL SOCIETY, ,HTTP://FAYETTEHISTORICALSOCIETY.COM,-87.82637,33.68683,PO BOX 534,FAYETTE,AL,35555
8400100129,HSC,WEST JEFFERSON COUNTY HISTORICAL SOCIETY,3342065418,HTTP://WWW.JEFFCOHISTORY.COM/,-86.9849,33.3455,1740 EASTERN VALLEY ROAD,BESSEMER,AL,35021
8400100130,HSC,LEE COUNTY HISTORICAL SOCIETY,3348873007,HTTP://WWW.LEECOUNTYHISTORICALSOCIETY.ORG/,-85.59934,32.60443,6500 STAGE RD,LOACHAPOKA,AL,36865
8400100131,HSC,LANDMARKS OF DEKALB COUNTY, , ,-85.76825,34.47746,PO BOX 680518,FORT PAYNE,AL,35968
8400100132,HSC,SELMA DALLAS COUNTY HISTORIC PRESERVATION SOCIETY,3348746600,HTTP://HISTORICSELMA.ORG/,-87.02243,32.40623,PO BOX 586,SELMA,AL,36702
8400100133,HSC,PEA RIVER HISTORICAL & GENEALOGICAL SOCIETY,3343932901,HTTP://WWW.PEARIVER.ORG/,-85.85463,31.31533,108 S MAIN STREET,ENTERPRISE,AL,36331
8400100135,HSC,ST CLAIR HISTORICAL SOCIETY, , ,-86.39394,33.68029,150 WARE AVE,ODENVILLE,AL,35120
8400100136,HSC,TWICKENHAM HISTORIC PRESERVATION DISTRICT ASSOCIATION,2565367718, ,-86.58248,34.72973,300 GATES AVE SE,HUNTSVILLE,AL,35801
8400100138,HSC,ESCAMBIA COUNTY HISTORICAL SOCIETY,2518091528,HTTP://WWW.ESCOHIS.ORG/,-87.07114,31.10792,PO BOX 276,BREWTON,AL,36427
8400100139,HSC,TALLEDEGA HISTORICAL ASSOCIATION, , ,-86.10313,33.43764,PO BOX 1042,TALLADEGA,AL,35161
8400100142,HSC,HOLLY POND HISTOICAL SOCIETY, , ,-86.62915,34.18191,3425 COUNTY ROAD 1650,HOLLY POND,AL,35083
8400100143,HSC,VALORS VOICE,2563022616, ,-86.43677,34.36233,490 HARDING RD,ARAB,AL,35016
8400100144,HSC,ALABAMA GOSPEL MUSIC CULTURAL ARTS CENTER,2054472208,HTTP://WWW.ALABAMAGOSPELCENTER.ORG,-86.84821,33.5115,730 8TH AVE W,BIRMINGHAM,AL,35204
8400100148,HSC,IRONDALE AL HISTORICAL SOCIETY, ,HTTP://IRONDALETODAY.COM/?P=129,-86.70836,33.53794,1910 1ST AVE S,IRONDALE,AL,35210
8400100153,HSC,ALABAMA CITY HISTORICAL ASSOCIATION, , ,-86.08196,33.99526,PO BOX 4205,GADSDEN,AL,35904
8400100154,HSC,VREDENBURGH HISTORICAL SOCIETY, , ,-87.37517,31.8139,176 STEWART CIRCLE,VREDENBURGH,AL,36481
8400100156,HSC,SPRUCE PINE HISTORICAL SOCIETY, , ,-87.78503,34.41417,PO BOX 32,SPRUCE PINE,AL,35585
8400100157,HSC,ST FLORIAN HISTORICAL PRESERVATION SOCIETY, , ,-87.62379,34.87336,57 SAINT FLORIAN RD,FLORENCE,AL,35630
8400100158,HSC,VINCENT HISTORICAL AND ENVIRONMENTAL SOCIETY, , ,-86.39859,33.41177,PO BOX 299,VINCENT,AL,35178
8400100159,HSC,PICKENS COUNTY COURTHOUSE, ,HTTP://WWW.COURTHOUSEWINDOW.COM/THE-COURTHOUSE.HTML,-88.1561,33.25027,PO BOX 382,CARROLLTON,AL,35447
8400100160,HSC,DIVINE DESTINYS DANCE, , ,-86.65841,33.72529,5045 GOLD LEAF LN,PINSON,AL,35126
8400100161,HSC,COAST GUARD HISTORICAL SOCIETY, , ,-87.52815,34.70098,2050 OAK ST,LEIGHTON,AL,35646
8400100168,HSC,MUSEUM OF MOBILE,2512087569, ,-88.04303,30.6959,PO BOX 2068,MOBILE,AL,36652
8400100169,HSC,CENTER POINT WOMENS PRESERVATION SOCIETY, , ,-86.67516,33.66709,349 37TH CT NE,CENTER POINT,AL,35215
8400100170,HSC,RANDOLPH COUNTY HISTORICAL SOCIETY,7655841334,HTTP://WWW.RANDOLPHHISTORY.COM/,-84.98254,40.16907,416 SOUTH MERIDIAN STREET,WINCHESTER,IN,36255
8400100171,HSC,NORTH ALABAMA VIETNAM PILOTS ASSOCIATION, ,HTTP://17TH.ORG/GALLERY2/MAIN.PHP/V/LHAAS/,-86.64048,34.70022,PO BOX 8406,HUNTSVILLE,AL,35808
8400100173,HSC,TUSCALOOSA GENEALOGICAL SOCIETY, ,HTTP://WWW.TUSCALOOSAGENEALOGY.COM/,-87.56242,33.2029,PO BOX 20802,TUSCALOOSA,AL,35402
8400100174,HSC,BROWN HAWKINS RURAL LEARNING CENTER, , ,-86.25291,32.3314,3936 ROUSE RIDGE CT,MONTGOMERY,AL,36111
8400100180,HSC,EUTAW AREA CHAMBER OF COMMERCE TRUST, , ,-87.90988,32.88911,PO BOX 31,EUTAW,AL,35462
8400100181,HSC,STEPHEN JONAH KING COMMUNITY PRESERVATION GROUP, , ,-86.85799,34.18203,1535 ANN ST NW,CULLMAN,AL,35055
8400100184,HSC,TUSKEGEE AIRMEN NATIONAL HISTORIC SITE,2514948382,HTTP://WWW.FRIENDSOFTUSKEGEEAIRMENNHS.ORG/,-85.68729,32.42987,PO BOX 831199,TUSKEGEE,AL,36083
8400100185,HSC,PINTLALA HISTORICAL ASSOCIATION,3342887414, ,-86.36178,32.15148,621 PETTUS RD,HOPE HULL,AL,36043
8400100186,HSC,LEDS SCENIC BYWAY MANAGEMENT TEAM, , ,-86.57852,33.53762,6554 LYNN CIR,LEEDS,AL,35094
8400100187,HSC,GENEVA COUNTY ALABAMA HISTORICAL SOCIETY,3346842100, ,-85.87905,31.0453,PO BOX 206,GENEVA,AL,36340
8400100188,HSC,MARION COUNTY HISTORICAL SOCIETY, ,HTTP://WWW.MCHSAL.ORG/,-87.99838,34.16018,PO BOX 492,HAMILTON,AL,35570
8400100189,HSC,CHICKASAW HISTORIC PRESERVATION SOCIETY, , ,-88.08103,30.7655,209 3RD ST,CHICKASAW,AL,36611
8400100191,HSC,9TH AND 10TH (HORSE) CAVALRY ASSOCIATION, , ,-86.81171,33.5128,520 16TH ST N,BIRMINGHAM,AL,35462
8400100192,HSC,ALABAMA LIGHTHOUSE ASSOCIATION, ,HTTP://WWW.ALABAMALIGHTHOUSES.COM/,-88.04401,30.69651,PO BOX 250,MOBILE,AL,36601
8400100196,HSC,PLEASANT GROVE PRIMITIVE BAPTIST CHURCH, , ,-85.56155,31.46362,401 S COUNTY RD 20,OZARK,AL,36360
8400100197,HSC,HOUSTON HISTORICAL SOCIETY, , ,-87.27872,34.15651,PO BOX 74,HOUSTON,AL,35572
8400100198,HSC,EPES HISTORICAL ASSOCIATION,2056527190, ,-88.16305,32.67166,12428 SUMTER 20,EPES,AL,35460
8400100210,HSC,CLAY LEGACY ASSOCIATION,2056815158,HTTP://CLAYHISTORICALSOCIETY.COM/,-86.60455,33.69993,PO BOX 61,CLAY,AL,35048
8400100214,HSC,BIRMINGHAM JEFFERSON HISTORICAL SOCIETY TERM, , ,-86.747,33.50743,PO BOX 130285,BIRMINGHAM,AL,35213
8400100215,HSC,CONDE CHARLOTTE MUSEUM HOUSE,2513425199, ,-87.5261,33.24112,2600 SARATOGA LN,TUSCALOOSA,AL,35406
8400100217,HSC,PEINHARDT LIVING HISTORY FARM FOUND ATION, , ,-86.86306,34.17122,1831 4TH ST SW,CULLMAN,AL,35055
8400100219,HSC,HANCEVILLE HISTORICAL PRESERVATION GROUP, , ,-86.76098,34.11784,773 COUNTY ROAD 622,HANCEVILLE,AL,35077
8400100222,HSC,ALABAMA NATIONAL GUARD HISTORICAL SOCIETY,2058330135, ,-86.7397,33.56265,6900 43RD AVENUE NORTH NO 200,BIRMINGHAM,AL,35206
8400100223,HSC,HOOVER HISTORICAL SOCIETY,2058229392,HTTP://WWW.HOOVERHISTORICALSOCIETY.ORG/,-86.85433,33.40819,569 PARK AVENUE,HOOVER,AL,35236
8400100225,HSC,VESTAVIA HILLS HISTORICAL SOCIETY,2059780155,HTTP://VESTAVIALIBRARY.ORG/,-86.78845,33.4368,1112 MONTGOMERY HWY,VESTAVIA,AL,35216
8400100226,HSC,GUNTERSVILL HISTORICAL SOCIETY, ,HTTP://WWW.GUNTERSVILLEHISTORICALSOCIETY.ORG/,-86.37909,34.36776,PO BOX 236,GUNTERSVILLE,AL,35976
8400100227,HSC,WALKER COUNTY GENEALOGICAL SOCIETY, , ,-87.27733,33.82961,PO BOX 3408,JASPER,AL,35502
8400100229,HSC,BIRMINGHAM CIVIL RIGHTS INSTITUTE,2053289696,HTTP://WWW.BCRI.ORG/INDEX.HTML,-86.81171,33.5128,520 16TH ST N,BIRMINGHAM,AL,35203
8400100231,HSC,ALABAMA HISTORICAL RADIO SOCIETY,2059677000,HTTP://ALABAMAHISTORICALRADIOSOCIETY.ORG,-86.81185,33.51784,600 N 18TH STREET,BIRMINGHAM,AL,35213
8400100234,HSC,JEMISON-VAN DE GRAAFF MANSION FOUNDATION,2057582906,HTTP://WWW.JEMISONMANSION.COM/,-87.56509,33.20224,1305 GREENSBORO AVE,TUSCALOOSA,AL,35403
8400100236,HSC,LINDEN HISTORICAL SOCIETY, ,HTTP://WWW.LINDEN-NJ.ORG/,-87.73882,32.21881,14230 AL HIGHWAY 28,LINDEN,AL,36748
8400100237,HSC,MONTGOMERY COUNTY HISTORICAL SOCIETY,3342641837, ,-86.30888,32.37047,512 S COURT ST,MONTGOMERY,AL,36104
8400100238,HSC,ALABAMA CENTER OF MILITARY HISTORY, , ,-86.58225,34.69017,2060A AIRPORT RD SW,HUNTSVILLE,AL,35801
8400100242,HSC,NAUVOO HISTORICAL SOCIETY,2053871709,HTTP://WWW.NAUVOOHISTORICALSOCIETY.ORG,-87.34601,33.97136,9959 HIGHWAY 195,JASPER,AL,35503
8400100246,HSC,HISTORIC MOBILE PRESERVATION SOCIETY, ,HTTP://HMPS.PUBLISHPATH.COM/,-88.06003,30.68068,300 OAKLEIGH PL,MOBILE,AL,36604
8400100249,HSC,MARENGO COUNTY HISTORICAL SOCIETY,3342890599,HTTP://WWW.MARENGOMUSEUM.COM/,-87.84868,32.49096,PO BOX 159,DEMOPOLIS,AL,36732
8400100252,HSC,LANDMARKS FOUNDATION OF MONTGOMERY,3342404500,HTTP://WWW.OLDALABAMATOWN.COM,-86.30519,32.38218,301 COLUMBUS ST,MONTGOMERY,AL,36104
8400100253,HSC,ALABAMA HISTORIC IRONWORKS COMMISSION, , ,-87.08321,33.26851,12632 CONFEDERATE PKWY,MC CALLA,AL,35111
8400100255,HSC,RICHARDS-DAR HOUSE MUSEUM,2512087320,HTTP://WWW.RICHARDSDARHOUSE.COM,-88.05529,30.68979,256 NORTH JOACHILN STREE,MOBILE,AL,36603
8400100256,HSC,MOBILE HISTORIC DEVELOPMENT COMMISSION,2512087281, ,-88.10646,30.6708,205 GOVERNMENT STREET 2ND FLOOR S TOWER,MOBILE,AL,36633
8400100258,HSC,OLD TOWNE PRESERVATION ASSOCIATION, , ,-86.58271,34.73564,112 STEELE ST NE,HUNTSVILLE,AL,35801
8400100259,HSC,HISTORIC HALE COUNTY PRESERVATION SOCIETY, , ,-87.59443,32.70357,1110 MAIN ST,GREENSBORO,AL,36744
8400100262,HSC,LIMESTONE COUNTY HISTORICAL SOCIETY, ,HTTP://LIMESTONECOUNTYHISTORICALSOCIETY.ORG,-86.98225,34.80508,PO BOX 82,ATHENS,AL,35612
8400100264,HSC,CLARKE COUNTY HISTORICAL SOCIETY & MUSEUM,2512752014,HTTP://CLARKECOUNTYAL.COM/,-87.78712,31.68673,116 COBB STREET,GROVE HILL,AL,36451
8400100265,HSC,SHELBY COUNTY HISTORICAL SOCIETY, , ,-86.60898,33.20482,1854 N MAIN ST,COLUMBIANA,AL,35051
8400100266,HSC,WILCOX HISTORICAL SOCIETY,3346829825, ,-87.3061,31.99763,PO BOX 464,CAMDEN,AL,36726
8400100267,HSC,BUTLER COUNTY HISTORICAL & GENEALOGICAL SOCIETY,3343839564, ,-86.62734,31.83257,309 FORT DALE RD,GREENVILLE,AL,36037
8400100273,HSC,CHOCTAW COUNTY HISTORICAL SOCIETY, , ,-88.21657,32.0877,210 WEST SMITH STREET,BUTLER,AL,36904
8400100274,HSC,OPELIKA HISTORIC PRESERVATION SOCIETY,3347490898, ,-85.38525,32.65391,611 NORTH 8TH ST,OPELIKA,AL,36803
8400100275,HSC,ALICEVILLE HISTORICAL PRESERVATION COMMISSION, , ,-88.13725,33.13138,222 PINE HILL LN,ALICEVILLE,AL,35442
8400100277,HSC,NATCHEZ TRACE GENALOGICAL SOCIETY, , ,-87.6751,34.80175,PO BOX 420,FLORENCE,AL,35631
8400100278,HSC,HUNTSVILLE-MADISON COUNTY HISTORICAL SOCIETY,2565365737,HTTP://WWW.HMCHS.ORG,-86.59342,34.72753,PO BOX 666,HUNTSVILLE,AL,35804
8400100280,HSC,GREENE COUNTY HISTORICAL SOCIETY,2052920015, ,-87.89041,32.84129,310 MAIN STREET,EUTAW,AL,35462
8400100283,HSC,AUTAUGA COUNTY HERITAGE ASSOCIATION,3343610961,HTTP://WWW.AUTAUGAHISTORY.ORG/,-86.47176,32.45953,102 E MAIN ST,PRATTVILLE,AL,36067
8400100284,HSC,ARLINGTON HISTORICAL ASSOCIATION, , ,-86.747,33.50743,PO BOX 130237,BIRMINGHAM,AL,35213
8400100288,HSC,CAPRI COMMUNITY FILM SOCIETY,3342624858,HTTP://WWW.CAPRITHEATRE.ORG,-86.29161,32.35213,1045 E FAIRVIEW AVE,MONTGOMERY,AL,36106
8400100289,HSC,PERRY COUNTY HISTORICAL AND PRESERVATION SOCIETY, ,HTTP://WWW.PERRYCOUNTYHISTORICALANDPRESERVATIONSOCIETY.COM/,-87.31793,32.63446,204 WEST MONROE STREET,MARION,AL,36756
8400100291,HSC,COVINGTON HISTORICAL SOCIETY,3342220674,HTTP://WWW.3NMSM.COM/,-86.48793,31.30243,PO BOX 1582,ANDALUSIA,AL,36420
8400100292,HSC,SUMTER COUNTY HISTORICAL & PRESERVATION SOCIETY,2056524015, ,-88.13818,32.56319,207 N WASHINGTON ST,LIVINGSTON,AL,35470
8400100294,HSC,WASHINGTON COUNTY HISTORICAL SOCIETY & MUSEUM,3348472201, ,-88.29411,31.47253,PO BOX 1166,CHATOM,AL,36518
8400100299,HSC,MADISON STATION HISTORICAL PRESERVATION SOCIETY, ,HTTP://WWW.HISTORICMADISONSTATION.COM/,-86.74919,34.69407,23 FRONT ST,MADISON,AL,35758
8400100300,HSC,COOSA COUNTY HISTORICAL SOCIETY, , ,-86.21548,32.86725,PO BOX 5,ROCKFORD,AL,35136
8400100306,HSC,CLAY COUNTY HISTORICAL SOCIETY,2562520138,HTTP://CLAYHISTORY.WIX.COM:80/CLAYHISTORY,-85.84636,33.24363,PO BOX 998,ASHLAND,AL,36251
8400100308,HSC,ALABAMA TRUST FOR HISTORIC PRESERVATION,2056523497,HTTP://WWW.ALABAMATRUST.INFO/,-88.13818,32.56319,UNIVERSITY OF WEST ALABA,LIVINGSTON,AL,35470
8400100309,HSC,PICKENS COUNTY GENEALOGICAL SOCIETY,2053647830, ,-87.89038,33.32262,PO BOX 793,GORDO,AL,35466
8400100310,HSC,FORT MIMS RECONSTRUCTION ASSOCIATION, , ,-87.42077,31.4705,94 WEBB RD,FRISCO CITY,AL,36445
8400100312,HSC,COOSA HISTORICAL PRESERVATION AUTHORITY, , ,-86.21548,32.86725,PO BOX 39,ROCKFORD,AL,35136
8400100314,HSC,BIRMINGHAM LANDMARKS,2052522262,HTTP://LIGHTUPTHELYRIC.COM/,-86.80949,33.51496,1817 3RD AVE N,BIRMINGHAM,AL,35203
8400100316,HSC,EIGHTH AIR FORCE HISTORICAL SOCIETY, , ,-86.82467,33.42958,2208 SHERWOOD PL,HOOVER,AL,35226
8400100320,HSC,RUSSELL COUNTY HISTORICAL COMMISSION,3342978225,HTTP://WWW.RCALA.COM/RCH.HTML,-85.0009,32.46851,1040 BROAD ST,PHENIX CITY,AL,36868
8400100321,HSC,ARAB HISTORICAL SOCIETY,2565866397, ,-86.49274,34.32768,224 CITY PARK DRIVE NORTHEAST,ARAB,AL,35016
8400100322,HSC,CRENSHAW COUNTY HISTORICAL SOCIETY,3343356575,HTTP://MUSEUMS.HACKINGTHEHUMANITIES.ORG/ITEMS/SHOW/44736,-86.28191,31.74659,PO BOX 633,LUVERNE,AL,36049
8400100323,HSC,ETOWAH HISTORICAL SOCIETY, , ,-86.04895,34.02262,2829 W MEIGHAN BLVD,GADSDEN,AL,35902
8400100325,HSC,HARTSELLE HISTORICAL SOCIETY, ,HTTPS://WWW.FACEBOOK.COM/HARTSELLEHISTORY,-86.93179,34.44638,307 COLLEGE ST NE,HARTSELLE,AL,35640
8400100326,HSC,LAWRENCE COUNTY HISTORICAL COMMISSION,2569741757,HTTP://WWW.LAWRENCECOARCHIVES.COM/,-87.29119,34.48047,698 MAIN STREET,MOULTON,AL,35650
8400100330,HSC,OLD MOBILE, , ,-88.12781,30.66739,PO BOX 161314,MOBILE,AL,36616
8400100332,HSC,ELMORE COUNTY HISTORICAL SOCIETY, ,HTTP://WWW.WETUMPKACHAMBER.COM/MAIN_PAGE.HTML,-86.20556,32.53707,112 S MAIN ST,WETUMPKA,AL,36092
8400100338,HSC,BRUNDIDGE HISTORICAL SOCIETY, ,HTTP://WWW.PIDDLE.ORG/,-85.81574,31.72046,123 S MAIN ST,BRUNDIDGE,AL,36010
8400100348,HSC,LAMAR COUNTY GENEALOGICAL AND HISTORICAL SOCIETY, , ,-88.10535,33.75431,PO BOX 357,VERNON,AL,35592
8400100350,HSC,ATMORE HISTORICAL SOCIETY,2513685234,HTTP://WWW.CITYOFATMORE.COM/CONTENT.ASP?ID=139328,-87.49114,31.00903,11 ROLLINS PL,ATMORE,AL,36502
8400100351,HSC,LAGRANGE LIVING HISTORICAL ASSOCIATION,2564469324,HTTPS://WWW.FACEBOOK.COM/LAGRANGE.COLLEGESITE.PARK,-87.53617,34.66894,PO BOX 306,LEIGHTON,AL,35646
8400100352,HSC,EAST MONTGOMERY COUNTY HISTORICAL SOCIETY, , ,-86.09503,32.35664,PO BOX 49,MOUNT MEIGS,AL,36057
8400100353,HSC,LIMESTONE COUNTY ALABAMA ARCHIVES,2562336404,HTTP://WWW.LIMESTONEFOA.ORG/,-86.97004,34.80241,102 W WASHINGTON STREET,ATHENS,AL,35612
8400100354,HSC,DEFENDERS OF FORT MORGAN,2515402420, ,-87.68308,30.27212,1929 STATE HIGHWAY 180,GULF SHORES,AL,36542
8400100357,HSC,MORGAN COUNTY GENEALOGICAL SOCIETY, , ,-86.98597,34.61182,624 BANK ST NE,DECATUR,AL,35601
8400100360,HSC,DONNELL HOUSE BOARD,2562320743, ,-86.98225,34.80508,601 & 1/2 SOUTH CLINTON STREET,ATHENS,AL,35612
8400100361,HSC,BLACK FREEDMEN'S LIVING HISTORICAL FARM FOR CHILDREN,3348445700, ,-86.96219,32.00294,PO BOX 106,FURMAN,AL,36741
8400100362,HSC,MCCOY CENTER FOR COMMUNITY SERVICE,2053272957, ,-86.84821,33.5115,730 8TH AVE W,BIRMINGHAM,AL,35204
8400100366,HSC,MONTROSE HISTORIC PRESERVATION SOCIETY, , ,-87.90195,30.56595,PO BOX 637,MONTROSE,AL,36559
8400100368,HSC,UNION PRESERVATION SOCIETY, , ,-85.16797,32.41973,200 STEWART RD,SEALE,AL,36875
8400100369,HSC,FORT DALE PIONEER SETTLEMENT, , ,-86.61038,31.60889,158 PAGE RD,GEORGIANA,AL,36033
8400100372,HSC,BLOUNTSVILLE HISTORICAL SOCIETY, ,HTTP://WWW.BLOUNTSVILLEHISTORICALSOCIETY.COM,-86.60181,34.1104,1181 BULLARD RD,BLOUNTSVILLE,AL,35031
8400100379,HSC,HOLT STREET BAPTIST CHURCH HISTORICAL SOCIETY,3342614141, ,-86.30851,32.35256,1870 S COURT ST,MONTGOMERY,AL,36104
8400100380,HSC,ALABAMA COMPANY JAMESTOWNE SOCIETY, , ,-86.52653,34.6575,7920 VALLEY BEND DRIVE,HUNTSVILLE,AL,35223
8400100383,HSC,HISTORIC NORTHPORT,2053390488, ,-87.57759,33.22819,1802 20TH AVENUE,NORTHPORT,AL,35476
8400100384,HSC,SELMA TO MONTGOMERY NATIONAL HISTORIC TRAIL,3348771984,HTTP://WWW.NPS.GOV/SEMO/INDEX.HTM,-86.30681,32.33403,46 E PATTON AVE,MONTGOMERY,AL,36105
8400100387,HSC,LEEDS HISTORICAL SOCIETY,2056992721, ,-86.58808,33.46095,PO BOX 465,LEEDS,AL,35094
8400100389,HSC,SKYLINE FARM HERITAGE ASSOCIATION, , ,-86.22614,34.67005,802CORD25,SCOTTSBORO,AL,35776
8400100393,HSC,ALABAMA TRAIL OF TEARS CORRIDOR ASSOCIATION,6787433868, ,-86.61731,34.7084,PO BOX 11145,HUNTSVILLE,AL,35814
8400100395,HSC,ALABAMA GOVERNORS MANSION, ,HTTPS://WWW.FACEBOOK.COM/FOAGM,-86.3031,32.36426,1001 S HULL ST,MONTGOMERY,AL,36104
8400100402,HSC,B BATTERY 711 AAA GUN BATTALION MEMORIAL, , ,-87.78158,30.87652,PO BOX 1173,BAY MINETTE,AL,36507
8400100403,HSC,PEOPLES HISTORICAL MUSEUM,3343616006, ,-86.47505,32.46754,343 N COURT ST STE H,PRATTVILLE,AL,36067
8400100404,HSC,HISTORIC BETHEL BAPTIST CHURCH, , ,-86.80186,33.5513,3200 28TH AVE N,BIRMINGHAM,AL,35207
8400100405,HSC,SYLACAUGA HISTORICAL PRESERVATION AND CONSERVATION, , ,-86.26153,33.18505,PO BOX 676,SYLACAUGA,AL,35150
8400100407,HSC,AUTAUGA GENEALOGICAL SOCIETY, , ,-86.42472,32.46438,PO BOX 680668,PRATTVILLE,AL,36068
8400100408,HSC,COLUMBIA HISTORIAL SOCIETY,3346968029,HTTP://WWW.COLUMBIAHISTORICALSOCIETYOFALABAMA.ORG/,-85.12623,31.27906,PO BOX 335,COLUMBIA,AL,36319
8400100409,HSC,AIRCRAFT ENGINE HISTORICAL SOCIETY,2566831458,HTTP://WWW.ENGINEHISTORY.ORG,-86.63848,34.75203,4608 CHARLES DR NW,HUNTSVILLE,AL,35816
8400100410,HSC,CHOCTAW COUNTY GENEALOGICAL SOCIETY, , ,-88.17437,32.03716,4244 COUNTY ROAD 43,BUTLER,AL,36904
